   1819734
                    5.372491e+00   -3.046238e+00    9.448630e-02
                    5.782562e+00   -1.028011e+00   -5.291233e-02
                    6.808683e+00   -6.670733e-01   -1.812247e+00
                    6.942853e+00   -4.478651e-01    1.557134e+00
                    3.376940e+00    2.947973e-01   -4.157397e-02
                    2.940414e+00    2.861045e+00   -1.492884e-01
                    4.501327e+00    4.187633e+00   -2.551130e-01
                    5.499103e-01    3.486544e+00   -1.114938e-01
                   -6.784116e-01    1.179189e+00    3.023562e-02
                   -3.255998e+00    5.026671e-01    1.247219e-01
                   -5.115488e+00    2.256333e+00    1.322808e-01
                   -6.918287e+00    1.662959e+00    7.558904e-03
                   -4.680851e+00    4.085588e+00   -1.530678e-01
                   -3.877718e+00   -1.952087e+00    2.362157e-01
                   -1.999330e+00   -3.662289e+00    2.664514e-01
                   -2.613491e+00   -5.627604e+00    3.609377e-01
                    4.856596e-01   -3.290013e+00    1.946418e-01
                    1.029901e+00   -8.163616e-01    7.369931e-02
    5.974711e-03    5.156345e+00   -3.420616e+00    3.239657e+00
    8.625578e-03    5.588638e+00   -3.420616e+00    3.239657e+00
    3.452306e-03    4.515957e+00   -3.046238e+00    3.151498e+00
    1.777820e-03    4.630711e+00   -3.474506e+00    3.151498e+00
    3.011560e-03    4.944224e+00   -3.788019e+00    3.151498e+00
    5.803324e-03    5.372491e+00   -3.902773e+00    3.151498e+00
    8.742679e-03    5.800759e+00   -3.788019e+00    3.151498e+00
    1.136115e-02    6.114272e+00   -3.474506e+00    3.151498e+00
   -7.254344e-05    4.107672e+00   -3.046238e+00    3.006394e+00
   -2.783959e-03    4.183949e+00   -3.478832e+00    3.006394e+00
   -2.562918e-03    4.403583e+00   -3.859249e+00    3.006394e+00
   -1.301402e-04    4.740081e+00   -4.141605e+00    3.006394e+00
    3.183560e-03    5.152858e+00   -4.291843e+00    3.006394e+00
    6.417665e-03    5.592125e+00   -4.291843e+00    3.006394e+00
    9.186334e-03    6.004901e+00   -4.141605e+00    3.006394e+00
    1.152305e-02    6.341400e+00   -3.859249e+00    3.006394e+00
    1.374856e-02    6.561033e+00   -3.478832e+00    3.006394e+00
   -4.346745e-03    3.722948e+00   -3.046238e+00    2.807046e+00
   -8.451298e-03    3.779154e+00   -3.473172e+00    2.807046e+00
   -9.273809e-03    3.943945e+00   -3.871011e+00    2.807046e+00
   -7.211505e-03    4.206088e+00   -4.212642e+00    2.807046e+00
   -3.572570e-03    4.547719e+00   -4.474785e+00    2.807046e+00
